Type	URI	Status	Elapsed Seconds
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064171/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064172/info.json	200	0.112494
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064172/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064172/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064172/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064173/info.json	200	0.102971
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064173/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064173/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064173/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064174/info.json	200	0.107321
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064174/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064174/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064174/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064175/info.json	200	0.113832
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064175/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064175/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064175/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064176/info.json	200	0.099327
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064176/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064176/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064176/100,100,200,200/100,/0/native.jpg	200	
